tconst	titleType	genres	runtimeMinutes	startYear	averageRating	numVotes	movie_facebook_likes	cast_total_facebook_likes	num_user_for_reviews	gross	num_critic_for_reviews	budget	actor_1_facebook_likes	actor_2_facebook_likes
tt0369610	movie	Action,Adventure,Sci-Fi	124	2015	7.0	613889	150000	8458	1290	652177271	644	150000000	3000	2000
tt1074638	movie	Action,Adventure,Thriller	143	2012	7.8	679614	80000	2039	1498	304360277	750	200000000	883	563
tt0316654	movie	Action,Adventure,Sci-Fi	127	2004	7.4	621632	0	43388	1303	373377893	300	200000000	24000	11000
tt1300854	movie	Action,Adventure,Sci-Fi	130	2013	7.1	814963	95000	30426	1187	408992272	608	200000000	21000	4000
tt1014759	movie	Adventure,Family,Fantasy	108	2010	6.4	403287	24000	79957	736	334185206	451	200000000	40000	25000
tt0376994	movie	Action,Adventure,Sci-Fi	104	2006	6.7	504041	0	21714	1912	234360014	334	210000000	20000	808
tt1453405	movie	Adventure,Animation,Comedy	104	2013	7.2	345973	44000	14863	265	268488329	376	200000000	12000	779
tt1055369	movie	Action,Adventure,Sci-Fi	149	2009	6.0	399990	0	3218	1439	402076689	366	200000000	894	581
tt2109248	movie	Action,Adventure,Sci-Fi	165	2014	5.6	308519	56000	3988	918	245428137	378	210000000	974	956
tt1623205	movie	Adventure,Family,Fantasy	130	2013	6.3	205115	60000	73441	511	234903076	525	215000000	44000	15000
tt1872181	movie	Action,Adventure,Sci-Fi	142	2014	6.6	474216	41000	28631	1067	202853933	495	200000000	15000	10000
tt1104001	movie	Action,Adventure,Sci-Fi	125	2010	6.8	328265	30000	25549	665	172051787	469	170000000	12000	10000
tt1216475	movie	Adventure,Animation,Comedy	106	2011	6.1	178171	10000	4482	283	191450875	304	200000000	1000	919
tt1133985	movie	Action,Adventure,Sci-Fi	114	2011	5.5	279546	24000	17657	550	116593191	436	200000000	16000	368
tt0435761	movie	Adventure,Animation,Comedy	103	2010	8.2	804081	30000	19085	733	414984497	453	200000000	15000	1000
tt0438488	movie	Action,Sci-Fi	115	2009	6.5	355494	0	27468	974	125320003	422	200000000	23000	3000
tt2820852	movie	Action,Crime,Thriller	137	2015	7.1	380731	94000	79150	657	350034110	424	190000000	26000	23000
tt0816711	movie	Action,Adventure,Horror	116	2013	7.0	640892	129000	32392	995	202351611	654	190000000	17000	11000
tt1877832	movie	Action,Adventure,Sci-Fi	132	2014	7.9	691398	82000	91434	752	233914986	539	200000000	34000	22000
tt1408101	movie	Action,Adventure,Sci-Fi	132	2013	7.7	477104	92000	21411	1171	228756232	590	190000000	19000	981
tt1351685	movie	Action,Adventure,Fantasy	114	2013	6.2	136532	22000	1766	205	65171860	338	195000000	979	557
tt1343092	movie	Drama,Romance	143	2013	7.2	519918	115000	29769	753	144812796	490	105000000	29000	509
tt0473075	movie	Action,Adventure,Fantasy	116	2010	6.6	284089	23000	16149	453	90755643	306	200000000	15000	567
tt1663662	movie	Action,Adventure,Sci-Fi	131	2013	6.9	488045	83000	19166	1106	101785482	575	190000000	16000	968
tt1399103	movie	Action,Adventure,Sci-Fi	154	2011	6.2	399700	46000	2593	899	352358779	428	195000000	894	829
tt0367882	movie	Action,Adventure	122	2008	6.1	444526	5000	14959	2054	317011114	470	185000000	11000	1000
tt1979388	movie	Adventure,Animation,Comedy	93	2015	6.7	111097	20000	696	345	123070338	298		275	150
tt1217209	movie	Adventure,Animation,Comedy	93	2012	7.1	397374	39000	5005	428	237282182	488	185000000	2000	1000
tt2660888	movie	Action,Adventure,Sci-Fi	122	2016	7.0	240840	30000	1327	432	130468626	322	185000000	998	119
tt0910970	movie	Adventure,Animation,Family	98	2008	8.4	1070079	16000	2975	1043	223806889	421	180000000	1000	729
tt0293564	movie	Action,Comedy,Crime	91	2007	6.2	163141	0	1125	221	140080850	162	140000000	268	268
tt1190080	movie	Action,Adventure,Sci-Fi	158	2009	5.8	369504	13000	2144	1055	166112167	367	200000000	1000	468
tt1067106	movie	Adventure,Animation,Comedy	96	2009	6.8	112305	0	48878	249	137850096	240	200000000	18000	14000
tt1617661	movie	Action,Adventure,Sci-Fi	127	2015	5.3	186381	44000	47334	720	47375327	384	176000000	17000	15000
tt0918940	movie	Action,Adventure,Drama	110	2016	6.2	172850	29000	21175	239	124051759	248	180000000	11000	10000
tt3385516	movie	Action,Adventure,Sci-Fi	144	2016	6.9	418985	54000	49684	622	154985087	396	178000000	34000	13000
tt0468569	movie	Action,Crime,Drama	152	2008	9.0	2498343	37000	57802	4667	533316061	645	185000000	23000	13000
tt1049413	movie	Adventure,Animation,Comedy	96	2009	8.2	1001283	27000	2635	704	292979556	408	175000000	1000	848
tt0892782	movie	Action,Adventure,Animation	94	2009	6.4	157297	0	2579	187	198332128	219	175000000	1000	973
tt0371746	movie	Action,Adventure,Sci-Fi	126	2008	7.9	1013866	10000	39252	1055	318298180	486	140000000	21000	12000
tt0970179	movie	Adventure,Drama,Family	126	2011	7.5	317552	42000	36017	678	73820094	682	170000000	17000	16000
tt0120891	movie	Action,Comedy,Sci-Fi	106	1999	4.9	158824	0	15870	648	113745408	85	170000000	10000	4000
tt0859163	movie	Action,Fantasy,Horror	112	2008	5.2	157713	0	9131	501	102176165	264	145000000	5000	3000
tt1386697	movie	Action,Adventure,Fantasy	123	2016	5.9	665454	80000	11287	971	161087183	418	175000000	10000	336
tt0413099	movie	Comedy,Family,Fantasy	96	2007	5.4	145212	2000	108016	257	100289690	186	175000000	87000	11000
tt1631867	movie	Action,Adventure,Sci-Fi	113	2014	7.9	648200	77000	12652	741	100189501	585	178000000	10000	854
tt0114898	movie	Action,Adventure,Sci-Fi	135	1995	6.2	192059	0	1004	309	88246220	91	175000000	711	60
tt1046173	movie	Action,Adventure,Sci-Fi	118	2009	5.8	206592	0	26683	534	150167630	250	175000000	23000	2000
tt2096673	movie	Adventure,Animation,Comedy	95	2015	8.1	676455	118000	2944	773	356454367	536	175000000	1000	767
tt3040964	movie	Adventure,Drama,Family	106	2016	7.4	271556	65000	32921	398	362645141	370	175000000	19000	13000
tt1228705	movie	Action,Adventure,Sci-Fi	124	2010	6.9	782436	18000	48638	723	312057433	453	200000000	21000	19000
tt1735898	movie	Action,Adventure,Drama	127	2012	6.1	284387	53000	72881	710	155111815	416	170000000	26000	17000
tt1587310	movie	Adventure,Family,Fantasy	97	2014	7.0	365391	89000	15516	634	241407328	401	180000000	11000	2000
tt2103281	movie	Action,Adventure,Drama	130	2014	7.6	429485	45000	14363	620	208543795	521	170000000	10000	2000
tt1321869	movie	Action,Adventure,Romance	109	2015	4.6	3257	677	1980	15		10		621	525
tt1335975	movie	Action,Drama,Fantasy	128	2013	6.3	157033	35000	20965	324	38297305	218	175000000	18000	1000
tt1843866	movie	Action,Adventure,Sci-Fi	136	2014	7.7	804243	55000	36188	742	259746958	576	170000000	19000	11000
tt0892791	movie	Adventure,Animation,Comedy	93	2010	6.3	197630	0	4628	173	238371987	226	165000000	4000	225
tt1964418	movie	Action,Adventure,Family	130	2015	6.4	179702	37000	5046	497	93417865	443	190000000	2000	638
tt2245084	movie	Action,Adventure,Animation	102	2014	7.8	441829	41000	2963	433	222487711	384	165000000	756	719
tt1772341	movie	Adventure,Animation,Comedy	101	2012	7.7	406406	40000	4451	345	189412677	377	165000000	975	931
tt0338348	movie	Adventure,Animation,Comedy	100	2004	6.6	199682	10000	16264	444	665426	188	165000000	15000	726
tt1628841	movie	Action,Adventure,Sci-Fi	120	2016	5.2	175686	67000	3233	520	102315545	286	165000000	890	812
tt0892769	movie	Action,Adventure,Animation	98	2010	8.1	710709	33000	20453	492	217387997	288	165000000	18000	953
tt0181852	movie	Action,Sci-Fi	109	2003	6.3	391573	0	1769	1676	150350192	280	200000000	648	284
tt2015381	movie	Action,Adventure,Comedy	121	2014	8.0	1125257	96000	32438	1097	333130696	653	170000000	14000	14000
tt0816692	movie	Adventure,Drama,Sci-Fi	169	2014	8.6	1693060	349000	31488	2725	187991439	712	165000000	11000	11000
tt1375666	movie	Action,Adventure,Sci-Fi	148	2010	8.8	2237706	175000	81115	2803	292568851	642	160000000	29000	27000
tt4262980	movie	Action,Drama,Horror	120	2016	6.8	26819	0	699	13		1		544	106
tt0903624	movie	Adventure,Fantasy	169	2012	7.8	797193	166000	9152	1367	303001229	645	180000000	5000	972
tt0232500	movie	Action,Crime,Thriller	106	2001	6.8	374380	14000	45327	988	144512310	187	38000000	23000	14000
tt0421715	movie	Drama,Fantasy,Romance	166	2008	7.8	628456	23000	13333	822	127490802	362	150000000	11000	1000
tt1270798	movie	Action,Adventure,Sci-Fi	131	2011	7.7	673864	54000	50983	698	146405371	500	160000000	34000	13000
tt1951266	movie	Action,Adventure,Sci-Fi	137	2015	6.6	312633	38000	81385	383	281666058	389	160000000	34000	22000
tt0963966	movie	Action,Adventure,Family	109	2010	6.1	159514	11000	13388	238	63143812	235	150000000	12000	418
tt0409182	movie	Action,Adventure,Thriller	98	2006	5.7	102933	0	92456	629	60655503	231	160000000	87000	2000
tt2567026	movie	Adventure,Family,Fantasy	113	2016	6.2	103466	30000	80806	131	76846624	218	170000000	40000	25000
tt0413267	movie	Adventure,Animation,Comedy	93	2007	6.1	297348	0	4705	326	320706665	227	160000000	3000	795
tt0803096	movie	Action,Adventure,Fantasy	123	2016	6.8	257241	89000	5505	781	46978995	275	160000000	3000	716
tt1340138	movie	Action,Adventure,Sci-Fi	126	2015	6.3	271798	82000	38873	867	89732035	474	155000000	24000	10000
tt0980970	movie	Adventure,Family,Fantasy	113	2010	6.3	150574	11000	764	227	104383624	228	155000000	531	82
tt0213149	movie	Action,Drama,History	183	2001	6.2	325453	0	5401	1999	198539855	191	140000000	3000	961
tt0418279	movie	Action,Adventure,Sci-Fi	144	2007	7.0	622326	8000	2333	1782	318759914	396	150000000	662	599
tt0346491	movie	Action,Biography,Drama	175	2004	5.6	167808	0	24598	1390	34293771	248	155000000	12000	11000
tt0373889	movie	Action,Adventure,Family	138	2007	7.5	556106	0	33433	1108	292000866	329	150000000	21000	11000
tt0330373	movie	Adventure,Family,Fantasy	157	2005	7.7	599239	0	53413	1896	289994397	295	150000000	21000	11000
tt0448157	movie	Action,Drama,Fantasy	92	2008	6.4	468458	0	21584	590	227946274	318	150000000	10000	9000
tt0480249	movie	Action,Drama,Sci-Fi	101	2007	7.2	729929	11000	13076	1413	256386216	323	150000000	10000	1000
tt0367594	movie	Adventure,Comedy,Family	115	2005	6.6	460178	0	57844	1361	206456431	276	150000000	40000	16000
tt0382932	movie	Adventure,Animation,Comedy	111	2007	8.0	687580	10000	4764	626	206435493	318	150000000	1000	1000
tt0372784	movie	Action,Crime,Drama	140	2005	8.2	1394421	15000	59558	2685	205343774	478	150000000	23000	14000
tt0479952	movie	Adventure,Animation,Comedy	89	2008	6.6	219701	0	3285	119	179982968	167	150000000	1000	851
tt1078912	movie	Adventure,Comedy,Family	105	2009	6.0	190194	2000	54039	209	177243721	185	150000000	49000	3000
tt0458525	movie	Action,Sci-Fi	107	2009	6.6	490802	0	40054	641	179883016	350	150000000	20000	16000
tt0242653	movie	Action,Sci-Fi	129	2003	6.8	500190	0	1062	2121	139259759	245	150000000	309	269
tt2294629	movie	Adventure,Animation,Comedy	102	2013	7.4	605316	58000	2582	904	400736600	406	150000000	1000	523
tt0234215	movie	Action,Sci-Fi	138	2003	7.2	579856	0	534	2789	281492479	275	150000000	234	198
tt1981115	movie	Action,Adventure,Fantasy	112	2013	6.8	649018	63000	59803	532	206360018	486	170000000	26000	20000
tt1392190	movie	Action,Adventure,Sci-Fi	120	2015	8.1	954962	191000	40025	1588	153629485	739	150000000	27000	9000
tt0808151	movie	Action,Mystery,Thriller	138	2009	6.7	287042	0	16948	435	133375846	298	150000000	15000	745
tt0800369	movie	Action,Adventure,Fantasy	115	2011	7.0	807313	63000	60059	738	181015141	516	150000000	26000	20000
tt0397892	movie	Adventure,Animation,Comedy	96	2008	6.8	203558	0	20007	178	114053579	225	150000000	17000	759
tt0436339	movie	Action,Adventure,Animation	88	2009	5.1	45634	0	2217	90	119420252	145	150000000	730	607
tt1646987	movie	Action,Adventure,Fantasy	99	2012	5.7	187099	19000	16184	253	83640426	310	150000000	14000	897
tt1077368	movie	Comedy,Fantasy,Horror	113	2012	6.2	260705	82000	80849	479	79711678	526	100000000	40000	17000
tt2381249	movie	Action,Adventure,Thriller	131	2015	7.4	361377	47000	21840	440	195000874	465	150000000	10000	10000
tt0780653	movie	Drama,Fantasy,Horror	103	2010	5.8	105786	0	13071	432	61937495	357	150000000	12000	490
tt0389790	movie	Adventure,Animation,Comedy	91	2007	6.1	155630	0	6576	206	126597121	194	150000000	2000	852
tt1302011	movie	Action,Adventure,Animation	90	2011	7.2	272950	20000	21015	209	165230261	284	150000000	11000	10000
tt0938283	movie	Action,Adventure,Family	103	2010	4.0	160633	18000	2857	1382	131564731	280	150000000	1000	756
tt0317919	movie	Action,Adventure,Thriller	126	2006	6.9	346733	0	34817	871	133382309	310	150000000	22000	10000
tt2334879	movie	Action,Drama,Thriller	131	2013	6.3	216893	33000	18204	434	73103784	339	150000000	17000	551
tt1305591	movie	Action,Adventure,Animation	88	2010	5.4	22184	0	2652	112	21379315	132	150000000	921	562
tt0424095	movie	Action,Adventure,Animation	85	2006	6.6	121896	0	35161	122	64459316	135	149000000	20000	14000
tt3332064	movie	Adventure,Comedy,Family	111	2015	5.7	63202	24000	21404	186	34964818	256	150000000	20000	559
tt0864835	movie	Adventure,Animation,Comedy	92	2014	6.8	67919	11000	5810	130	111505642	196	145000000	3000	1000
tt0332452	movie	Drama,History	163	2004	7.3	517744	0	17944	1694	133228348	220	175000000	11000	5000
tt1277953	movie	Adventure,Animation,Comedy	95	2012	6.8	175303	17000	2444	154	216366733	211	145000000	851	770
tt0246460	movie	Action,Adventure,Thriller	133	2002	6.1	215887	0	2538	1185	160201106	264	142000000	769	766
tt1289401	movie	Action,Comedy,Fantasy	117	2016	6.9	224237	62000	2097	1211	118099659	464	144000000	783	370
tt0120591	movie	Action,Adventure,Sci-Fi	151	1998	6.7	415444	11000	26029	1171	201573391	167	140000000	13000	12000
tt0120912	movie	Action,Adventure,Comedy	88	2002	6.2	363603	2000	14823	606	190418803	208	140000000	10000	3000
tt0442933	movie	Action,Adventure,Animation	115	2007	6.2	166557	3000	31523	505	82161969	287	150000000	18000	12000
tt2267968	movie	Action,Adventure,Animation	95	2016	7.1	149810	24000	36095	145	143523463	210	145000000	24000	11000
tt1229238	movie	Action,Adventure,Thriller	132	2011	7.4	477342	35000	21768	512	209364921	432	145000000	10000	10000
tt1446192	movie	Action,Adventure,Animation	97	2012	7.3	169420	25000	20645	174	103400692	256	145000000	20000	315
tt0369441	movie	Comedy,Crime	90	2005	6.2	142813	2000	1997	258	110332737	135	100000000	957	550
tt0325710	movie	Action,Drama	154	2003	7.7	424456	0	11945	928	111110575	190	140000000	10000	956
tt1528100	movie	Action,Adventure,Drama	150	2014	6.0	166050	51000	26489	657	65007045	314	140000000	23000	892
tt0796366	movie	Action,Adventure,Sci-Fi	127	2009	7.9	595477	19000	39284	1559	257704099	518	150000000	26000	12000
tt0145487	movie	Action,Adventure,Sci-Fi	121	2002	7.3	782191	5000	40484	2012	403706375	291	139000000	24000	11000
tt1646971	movie	Action,Adventure,Animation	102	2014	7.8	323855	46000	23378	343	176997107	292	145000000	18000	3000
tt2404233	movie	Action,Adventure,Fantasy	127	2016	5.4	113737	24000	19769	273	31141074	184	140000000	18000	934
tt0382992	movie	Action,Adventure,Sci-Fi	121	2005	5.1	53441	0	2705	388	31704416	145	135000000	820	780
tt0409459	movie	Action,Drama,Mystery	162	2009	7.6	535037	18000	2530	1229	107503316	451	130000000	986	745
tt0122151	movie	Action,Crime,Thriller	127	1998	6.6	160343	0	6171	287	129734803	141	140000000	5000	808
tt0286716	movie	Action,Sci-Fi	138	2003	5.6	262818	0	1814	1445	132122995	267	137000000	820	300
tt1583421	movie	Action,Adventure,Sci-Fi	110	2013	5.8	179752	42000	31958	288	122512052	351	130000000	17000	12000
tt0318649	movie	Action,Adventure,Comedy	124	2005	6.0	96777	0	13073	463	68642452	163	130000000	11000	973
tt0173840	movie	Action,Adventure,Animation	106	2001	6.4	81655	0	15015	788	32131830	166	137000000	12000	2000
tt0458339	movie	Action,Adventure,Sci-Fi	124	2011	6.9	808301	46000	19761	679	176636816	510	140000000	11000	3000
tt0143145	movie	Action,Adventure,Thriller	128	1999	6.4	197592	2000	2037	683	126930660	197	135000000	766	536
tt0311113	movie	Action,Adventure,Drama	138	2003	7.4	215594	0	1205	684	93926386	244	150000000	613	172
tt1673434	movie	Adventure,Drama,Fantasy	115	2012	5.5	243282	65000	59177	329	292298923	322	120000000	21000	17000
tt1402488	movie	Adventure,Animation,Comedy	117	2011	5.9	44111	0	62644	79	63992328	156	135000000	49000	11000
tt0800080	movie	Action,Adventure,Sci-Fi	112	2008	6.6	470432	0	5811	643	134518390	354	150000000	3000	1000
tt3691740	movie	Adventure,Family,Fantasy	117	2016	6.4	83834	27000	1950	106	52792307	252	140000000	535	400
tt1663202	movie	Action,Adventure,Drama	156	2015	8.0	767495	190000	57108	1188	183635922	556	135000000	29000	27000
tt1860353	movie	Adventure,Animation,Comedy	96	2013	6.4	93175	13000	17416	90	83024900	166	135000000	16000	881
tt1192628	movie	Action,Adventure,Animation	107	2011	7.2	254543	26000	43291	337	123207194	362	135000000	40000	1000
tt1911658	movie	Adventure,Animation,Comedy	92	2014	6.7	87384	11000	19963	118	83348920	153	132000000	19000	411
tt0440963	movie	Action,Mystery,Thriller	115	2007	8.0	624058	0	17369	820	227137090	329	110000000	13000	897
tt0441773	movie	Action,Adventure,Animation	92	2008	7.6	449723	6000	12754	360	215395021	266	130000000	11000	967
tt0478970	movie	Action,Adventure,Comedy	117	2015	7.3	631221	61000	5730	549	180191634	517	130000000	2000	2000
tt1951264	movie	Action,Adventure,Drama	146	2013	7.5	645572	82000	49355	706	424645577	502	130000000	34000	14000
tt2224026	movie	Adventure,Animation,Comedy	94	2015	6.6	99576	26000	17883	214	177343675	165	135000000	17000	523
tt0407304	movie	Action,Adventure,Sci-Fi	116	2005	6.5	435984	0	12758	2741	234277056	401	132000000	10000	1000
tt0172156	movie	Action,Comedy,Crime	147	2003	6.6	244573	0	12954	511	138396624	94	130000000	10000	898
tt0448694	movie	Adventure,Animation,Comedy	90	2011	6.6	153983	16000	5046	137	149234747	246	130000000	4000	442
tt0944835	movie	Action,Thriller	100	2010	6.4	308641	23000	12406	514	118311368	330	110000000	11000	702
tt1959490	movie	Action,Adventure,Drama	138	2014	5.7	251698	71000	32355	1240	101160529	434	125000000	12000	9000
tt0983193	movie	Action,Adventure,Animation	107	2011	7.3	226782	44000	4631	447	77564037	440	135000000	2000	871
tt0304141	movie	Adventure,Family,Fantasy	142	2004	7.9	605752	11000	33284	1504	249358727	274	130000000	11000	10000
tt0455824	movie	Adventure,Drama,Romance	165	2008	6.6	123082	0	921	450	49551662	245	130000000	309	284
tt1815862	movie	Action,Adventure,Sci-Fi	100	2013	4.8	198496	37000	14168	744	60522097	349	130000000	10000	943
tt0130623	movie	Adventure,Animation,Drama	82	2000	6.5	58643	0	2945	241	137748063	145	127500000	1000	558
tt2692250	movie	Adventure,Comedy,Family	98	2014	6.2	117510	11000	53587	126	113733726	154	127000000	49000	3000
tt1001526	movie	Action,Animation,Comedy	95	2010	7.3	248717	13000	46120	187	148337537	233	130000000	24000	11000
tt0241527	movie	Adventure,Family,Fantasy	152	2001	7.6	741873	16000	13191	1571	317557891	258	125000000	11000	687
tt0790736	movie	Action,Adventure,Comedy	96	2013	5.6	129075	20000	31549	210	33592415	208	130000000	16000	12000
tt0325980	movie	Action,Adventure,Fantasy	143	2003	8.0	1063600	10000	48184	2113	305388685	271	140000000	40000	5000
tt1951265	movie	Action,Adventure,Sci-Fi	123	2014	6.6	440606	52000	81385	591	337103873	403	125000000	34000	22000
tt0382625	movie	Mystery,Thriller	149	2006	6.6	422194	0	16008	1966	217536138	294	125000000	15000	574
tt2357291	movie	Adventure,Animation,Comedy	101	2014	6.3	87307	0	1031	99	131536019	159	103000000	688	237
tt0290334	movie	Action,Sci-Fi,Thriller	134	2003	7.4	535873	0	20952	1055	214948780	289	110000000	20000	505
tt1596343	movie	Action,Crime,Thriller	130	2011	7.3	372392	54000	55345	366	209805005	342	125000000	23000	14000
tt1515091	movie	Action,Adventure,Mystery	129	2011	7.5	442142	39000	22403	412	186830669	382	125000000	21000	979
tt0800320	movie	Action,Adventure,Fantasy	106	2010	5.8	278862	15000	18003	637	163192114	344	125000000	14000	1000
tt0100802	movie	Action,Adventure,Sci-Fi	113	1990	7.5	321113	0	1441	391	119412921	196	65000000	605	308
tt0120657	movie	Action,Adventure,History	102	1999	6.6	122394	0	1815	546	32694788	85	85000000	845	372
tt1194173	movie	Action,Adventure,Thriller	135	2012	6.6	297074	31000	12175	504	113165635	436	125000000	10000	826
tt0118688	movie	Action,Sci-Fi	125	1997	3.8	245428	0	2699	1018	107285004	183	125000000	920	890
tt0170016	movie	Comedy,Family,Fantasy	104	2000	6.2	238491	0	4146	482	260031035	175	123000000	1000	722
tt0319262	movie	Action,Adventure,Sci-Fi	124	2004	6.4	437145	19000	20553	1159	186739919	239	125000000	15000	2000
tt0120755	movie	Action,Adventure,Thriller	123	2000	6.1	331627	0	11930	1426	215397307	237	125000000	10000	794
tt0177971	movie	Action,Adventure,Drama	130	2000	6.4	164460	0	2684	779	182618434	231	140000000	784	638
tt0486576	movie	Action,Adventure,Fantasy	92	2007	5.6	260443	0	15302	436	131920333	262	130000000	11000	2000
tt0454876	movie	Adventure,Drama,Fantasy	127	2012	7.9	611639	122000	2121	755	124976634	552	120000000	774	358
tt0259324	movie	Action,Fantasy,Thriller	110	2007	5.3	233289	0	14017	681	115802596	276	110000000	12000	701
tt4196776	movie	Action,Thriller	123	2016	6.6	221533	31000	13752	297	108521835	267	120000000	13000	365
tt0305357	movie	Action,Adventure,Comedy	106	2003	4.9	126387	0	4046	554	100685880	102	120000000	2000	1000
tt1446714	movie	Adventure,Mystery,Sci-Fi	124	2012	7.0	593995	97000	24098	2326	126464904	775	130000000	13000	9000
tt0243585	movie	Adventure,Animation,Comedy	77	2002	5.5	53312	459	2682	69	64736114	71	120000000	886	799
tt1535108	movie	Action,Drama,Sci-Fi	109	2013	6.6	438146	61000	17689	814	93050117	476	115000000	13000	2000
tt0296572	movie	Action,Adventure,Sci-Fi	119	2004	6.7	223729	0	17159	666	57637485	207	105000000	14000	850
tt1234721	movie	Action,Crime,Sci-Fi	117	2014	6.1	224020	60000	14160	630	58607007	492	100000000	10000	2000
tt0811080	movie	Action,Adventure,Comedy	135	2008	6.0	72538	0	902	414	43929341	284	120000000	690	107
tt1341188	movie	Comedy,Drama,Romance	121	2010	5.4	49330	0	993	196	30212620	168	120000000	273	216
tt1013743	movie	Action,Adventure,Comedy	109	2010	6.3	190622	11000	12731	348	76418654	283	117000000	10000	973
tt1483013	movie	Action,Adventure,Sci-Fi	124	2013	7.0	509796	71000	22004	892	89021735	539	120000000	11000	10000
tt0121766	movie	Action,Adventure,Fantasy	140	2005	7.5	754500	10000	44042	3286	380262555	359	113000000	20000	16000
tt0121765	movie	Action,Adventure,Fantasy	142	2002	6.5	680973	0	42990	3516	310675583	284	115000000	20000	16000
tt1430132	movie	Action,Sci-Fi	126	2013	6.7	452396	68000	23755	533	132550960	440	120000000	20000	992
tt0120915	movie	Action,Adventure,Fantasy	136	1999	6.5	772043	13000	37723	3597	474544677	320	115000000	20000	14000
tt0481499	movie	Adventure,Animation,Comedy	98	2013	7.2	207983	28000	43286	195	187165546	257	135000000	16000	15000
tt0463872	movie	Adventure,Comedy,Family	116	2008	5.2	29413	291	1609	36		33	78000000	936	276
tt0245562	movie	Action,Drama,War	134	2002	6.1	68211	0	15046	454	40911830	152	115000000	12000	836
tt2381991	movie	Action,Adventure,Drama	114	2016	6.1	106824	16000	46719	134	47952020	231	115000000	26000	11000
tt1291150	movie	Action,Adventure,Comedy	101	2014	5.8	207728	62000	2690	491	190871240	348	125000000	833	809
tt1454468	movie	Action,Drama,Sci-Fi	91	2013	7.7	805777	147000	87	1885	274084951	738	100000000	39	23
tt0118928	movie	Action,Adventure,Thriller	108	1997	6.0	88678	0	1569	277	67155742	93	116000000	650	293
